month   day     year    Rhine   Meuse   Rietholzbach    Hupsel  
20	10	1989	1135	26	3.96E-02	0.043
21	10	1989	1137	45	3.71E-02	0.044
22	10	1989	1110	54	3.11E-02	0.039
23	10	1989	1084	43	2.88E-02	0.036
24	10	1989	1073	29	2.68E-02	0.035
25	10	1989	1052	10	2.59E-02	0.034
26	10	1989	1033	28	2.35E-02	0.034
27	10	1989	1016	6	2.29E-02	0.036
28	10	1989	994	12	2.14E-02	0.037
29	10	1989	978	26	1.89E-02	0.042
30	10	1989	991	102	1.61E-01	0.143
31	10	1989	1036	95	1.68E-01	0.135
1	11	1989	1108	159	7.95E-02	0.105
2	11	1989	1202	208	5.96E-02	0.106
3	11	1989	1404	186	5.01E-02	0.103
4	11	1989	1649	152	5.63E-02	0.1
5	11	1989	1706	180	1.24E-01	0.122
6	11	1989	1666	140	2.55E-01	0.104
7	11	1989	1699	120	2.11E-01	0.093
8	11	1989	1768	94	1.37E-01	0.089
9	11	1989	1794	90	9.59E-02	0.081
10	11	1989	1758	94	1.30E-01	0.084
11	11	1989	1736	112	9.44E-02	0.111
12	11	1989	1670	119	7.15E-02	0.1
13	11	1989	1558	54	5.98E-02	0.093
14	11	1989	1466	66	5.28E-02	0.089
15	11	1989	1393	52	4.75E-02	0.086
16	11	1989	1329	53	4.24E-02	0.078
17	11	1989	1271	52	3.93E-02	0.076
18	11	1989	1226	54	3.57E-02	0.072
19	11	1989	1203	72	3.41E-02	0.068
20	11	1989	1169	46	3.08E-02	0.068
21	11	1989	1137	46	2.81E-02	0.067
22	11	1989	1109	42	2.65E-02	0.068
23	11	1989	1077	29	3.36E-02	0.063
24	11	1989	1063	32	2.45E-02	0.066
25	11	1989	1039	58	2.35E-02	0.057
26	11	1989	1032	54	2.25E-02	0.059
27	11	1989	1014	46	2.58E-02	0.07
28	11	1989	1000	26	3.23E-02	0.069
29	11	1989	984	19	2.35E-02	0.063
30	11	1989	966	23	1.96E-02	0.057
1	12	1989	957	23	1.83E-02	0.054
2	12	1989	941	29	1.72E-02	0.05
3	12	1989	932	23	1.50E-02	0.057
4	12	1989	901	34	1.67E-02	0.062
5	12	1989	900	28	1.81E-02	0.059
6	12	1989	896	14	2.69E-02	0.073
7	12	1989	897	48	1.77E-02	0.073
8	12	1989	894	16	1.13E-02	0.067
9	12	1989	877	14	1.29E-02	0.066
10	12	1989	855	46	1.06E-02	0.065
11	12	1989	857	28	1.03E-02	0.07
12	12	1989	862	12	1.20E-02	0.096
13	12	1989	860	21	2.51E-02	0.178
14	12	1989	915	60	7.20E-02	0.919
15	12	1989	1027	158	3.68E-02	0.909
16	12	1989	1152	330	3.05E-01	0.842
17	12	1989	1469	627	9.94E-02	1.067
18	12	1989	2180	531	1.24E-01	1.144
19	12	1989	2961	510	7.48E-02	1.109
20	12	1989	3300	521	2.31E-01	1.439
21	12	1989	3450	777	1.17E-01	2.001
22	12	1989	3759	823	9.33E-02	1.632
23	12	1989	4164	1133	2.40E-01	1.846
24	12	1989	4177	975	9.54E-02	1.696
25	12	1989	4335	841	1.29E-01	1.218
26	12	1989	4345	696	8.65E-02	0.879
27	12	1989	4036	521	6.57E-02	0.72
28	12	1989	3561	431	5.33E-02	0.593
29	12	1989	3089	364	4.58E-02	0.52
30	12	1989	2704	308	4.01E-02	0.459
31	12	1989	2382	274	3.93E-02	0.435
1	1	1990	2140	252	4.15E-02	0.41
2	1	1990	1935	227	4.63E-02	0.367
3	1	1990	1799	190	5.50E-02	0.345
4	1	1990	1669	150	5.61E-02	0.327
5	1	1990	1555	178	2.33E-02	0.302
6	1	1990	1453	150	2.29E-02	0.286
7	1	1990	1380	150	2.44E-02	0.27
